,aclu_id,name,official_name,party,district,state,legislator_type,zeroed_district,congressional_district
499,aclu/elections-api/congress_legislator:729,,Mike Johnson,Republican,4,LA,rep,4,2204
500,aclu/elections-api/congress_legislator:727,,Garret Graves,Republican,6,LA,rep,6,2206
501,aclu/elections-api/congress_legislator:1027,Gwen Moore,Gwen Moore,Democrat,4,WI,rep,4,5504
502,aclu/elections-api/congress_legislator:11619,Tom Tiffany,Thomas P. Tiffany,Republican,7,WI,rep,7,5507
503,aclu/elections-api/congress_legislator:1030,Paul Ryan,Paul D. Ryan,Republican,1,WI,rep,1,5501
504,aclu/elections-api/congress_legislator:11610,,Bryan Steil,Republican,1,WI,rep,1,5501
505,aclu/elections-api/congress_legislator:1025,Jim Sensenbrenner,"F. James Sensenbrenner, Jr.",Republican,5,WI,rep,5,5505
506,aclu/elections-api/congress_legislator:1028,Mark Pocan,Mark Pocan,Democrat,2,WI,rep,2,5502
507,aclu/elections-api/congress_legislator:1029,,Mike Gallagher,Republican,8,WI,rep,8,5508
508,aclu/elections-api/congress_legislator:1032,Ron Kind,Ron Kind,Democrat,3,WI,rep,3,5503
509,aclu/elections-api/congress_legislator:1026,,Glenn Grothman,Republican,6,WI,rep,6,5506
510,aclu/elections-api/congress_legislator:1033,Sean Duffy,Sean P. Duffy,Republican,7,WI,rep,7,5507
511,aclu/elections-api/congress_legislator:1014,Cathy McMorris Rodgers,Cathy McMorris Rodgers,Republican,5,WA,rep,5,5305
512,aclu/elections-api/congress_legislator:1015,,Dan Newhouse,Republican,4,WA,rep,4,5304
513,aclu/elections-api/congress_legislator:1019,,Jaime Herrera Beutler,Republican,3,WA,rep,3,5303
514,aclu/elections-api/congress_legislator:1023,,Rick Larsen,Democrat,2,WA,rep,2,5302
515,aclu/elections-api/congress_legislator:1024,Suzan DelBene,Suzan K. DelBene,Democrat,1,WA,rep,1,5301
516,aclu/elections-api/congress_legislator:11609,,Kim Schrier,Democrat,8,WA,rep,8,5308
517,aclu/elections-api/congress_legislator:1016,David Reichert,David G. Reichert,Republican,8,WA,rep,8,5308
518,aclu/elections-api/congress_legislator:1017,Denny Heck,Denny Heck,Democrat,10,WA,rep,10,5310
519,aclu/elections-api/congress_legislator:1022,,Pramila Jayapal,Democrat,7,WA,rep,7,5307
